"ANO";"CEA";"NOME_CEA";"NUC_RURAL";"NUC_URBANO";"NUC_TOTAL";"DEC_URBANO";"DEC_RURAL";"DEC_TOTAL_CONJUNTO";"META_DEC";"FEC_URBANO";"FEC_RURAL";"FEC_TOTAL_CONJUNTO";"META_FEC";"ATENDE_DEC";"ATENDE_FEC"
2022;14662;FAXINAL;6250;18518;24767;6.8894;24.7533;11.3903;13;5.6706;10.6912;6.9356;9;SIM;SIM
2025;14664;CRISTO REI;741;21572;22281;3.3599;27.9604;4.1665;6;2.5926;9.1999;2.8098;5;SIM;SIM
2024;14664;CRISTO REI;743;21138;21877;2.3057;19.9126;2.9036;6;2.3768;7.2032;2.5406;5;SIM;SIM
2023;14664;CRISTO REI;746;20886;21619;2.7997;22.2525;3.4699;7;2.4971;7.5721;2.6723;5;SIM;SIM
2022;14664;CRISTO REI;737;20616;21353;2.4158;22.4261;3.1145;7;1.5471;8.4344;1.7879;5;SIM;SIM
2025;14665;CORNELIO PROCOPIO;5143;38665;43767;3.5617;21.7064;5.6797;8;2.2276;7.6676;2.8623;6;SIM;SIM
2024;14665;CORNELIO PROCOPIO;5029;38583;43590;4.0881;22.377;6.1822;8;2.3459;7.0642;2.8866;6;SIM;SIM
2023;14665;CORNELIO PROCOPIO;4927;38519;43446;4.6423;24.5909;6.8796;8;2.6412;7.3985;3.1754;6;SIM;SIM
2022;14665;CORNELIO PROCOPIO;4569;38202;42761;3.0849;21.6494;5.0546;9;2.514;7.8162;3.0757;7;SIM;SIM
2025;14666;COLORADO;4782;21176;25958;4.3185;17.3852;6.7198;7;3.6248;7.4658;4.3307;6;SIM;SIM
2024;14666;COLORADO;4711;21080;25791;6.1638;21.7829;9.0133;7;4.0147;7.1405;4.5849;6;NÃO;SIM
2023;14666;COLORADO;4652;20878;25528;6.714;22.0571;9.5114;7;6.9212;9.9648;7.4761;6;NÃO;NÃO
2022;14666;COLORADO;4638;20741;25379;4.8693;12.2514;6.2127;8;3.3816;5.3936;3.7478;7;SIM;SIM
2025;14667;CIDADE GAUCHA;4151;12228;16378;5.5189;20.3016;9.232;10;5.0859;10.4495;6.4324;7;SIM;SIM
2024;14667;CIDADE GAUCHA;4007;12194;16201;5.664;17.9782;8.6618;10;4.5552;8.2716;5.4593;8;SIM;SIM
2023;14667;CIDADE GAUCHA;3828;12057;15873;6.105;19.1972;9.2397;11;4.7217;9.4158;5.8439;8;SIM;SIM
2022;14667;CIDADE GAUCHA;3739;12042;15775;4.6047;17.0673;7.5373;11;4.0721;8.3554;5.081;9;SIM;SIM
2025;14668;CASCAVEL;5144;40562;45706;6.199;36.5738;9.6271;9;5.3114;21.7803;7.1695;7;NÃO;NÃO
2024;14668;CASCAVEL;5050;39546;44596;8.4443;46.8142;12.7957;9;8.4567;30.3862;10.9437;7;NÃO;NÃO
2023;14668;CASCAVEL;4978;38849;43826;8.2413;40.84;11.9459;10;6.4418;21.7748;8.1847;7;NÃO;NÃO
